Pclass,FamilySize,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Rare,Age_bin_Child,Age_bin_Teenage,Age_bin_Adult,Age_bin_Elder,Fare_bin_low_fare,Fare_bin_median_fare,Fare_bin_average_fare,Fare_bin_high_fare
3,2,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
1,2,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
3,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
1,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
3,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
3,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
3,5,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
3,3,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
2,2,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
3,3,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
3,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
3,7,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
3,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
2,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
3,6,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
2,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
3,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
3,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
